16,"Catching Fire (The Hunger Games, #2)"
19,"Mockingjay (The Hunger Games, #3)"
1,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
2,"Twilight (Twilight, #1)"
3,To Kill a Mockingbird
4,The Great Gatsby
5,The Fault in Our Stars
6,The Hobbit
7,The Catcher in the Rye
8,"Angels & Demons  (Robert Langdon, #1)"
9,Pride and Prejudice
10,The Kite Runner
11,"Divergent (Divergent, #1)"
12,1984
13,Animal Farm
14,The Diary of a Young Girl
15,"The Girl with the Dragon Tattoo (Millennium, #1)"
17,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
18,"The Fellowship of the Ring (The Lord of the Rings, #1)"
20,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
21,The Lovely Bones
22,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)"
23,"Harry Potter and the Goblet of Fire (Harry Potter, #4)"
24,"Harry Potter and the Deathly Hallows (Harry Potter, #7)"
25,"The Da Vinci Code (Robert Langdon, #2)"
